작업신고번호,공사현장명,위치_소재지,건물명_설비명,해체제거업자사업체명,해체시작년월일,해체종료년월일,변경사유발생일자,순번,종류명,면적_부피_길이(제곱미터)
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,4,지붕재,3771.98 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,6,바닥재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,7,파이프보온재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,8,단열재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,9,개스킷,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,10,기타,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,5,벽   재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,2,내화피복재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,3,천장재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,1,분무재(쁨칠재),0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,4,지붕재,3771.98 ㎡
부 산 청-20220306,양어장관리사 천정(석면) 철거공사,(48513)부산광역시 남구 용소로 45(대연동) 부경대학교 양어장관리사,부경대학교 양어장관리사,(주)남일,2022-08-12,2022-08-21,,3,천장재,403.65 ㎡
부 산 청-20220286,2022년도 부산항 감만부두 운영건물(4B) 유지보수공사 중 석면 해체#8901;제거 공사,"(48481)부산광역시 남구 북항로 59(감만동) 5동 3, 4층",부산항만공사 5동,우성건설,2022-08-01,2022-08-15,2022-08-01,3,천장재,㎡
부 산 청-20220286,2022년도 부산항 감만부두 운영건물(4B) 유지보수공사 중 석면 해체#8901;제거 공사,"(48481)부산광역시 남구 북항로 59(감만동) 5동 3, 4층",부산항만공사 5동,우성건설,2022-08-01,2022-08-15,2022-08-01,5,벽   재,203.85 ㎡
부 산 청-20220295,2022학년도 change-up사업 반려동물보건학과 석면천장 재해체공사(1공114호및복도),"(48520)부산광역시 남구 신선로 428 (용당동, 동명대학교)",동명대학교 제1공학관,계동건설주식회사,2022-08-05,2022-08-24,,3,천장재,328.9 ㎡
부 산 청-20220291,2022학년도 change-up사업 애견미용 및 행동교정학과(제1공111호및복도) 석면해체공사,"(48520)부산광역시 남구 신선로 428 (용당동, 동명대학교)",동명대학교 제1공학관,계동건설주식회사,2022-08-03,2022-08-19,,3,천장재,344.4 ㎡
부 산 청-20220288,유엔평화로153번길8-17외 2지번 철거공사중 석면공사,(48531)부산광역시 남구 유엔평화로153번길 8-17(용당동) 외 2지번,주택,고은산업,2022-08-02,2022-08-20,,3,천장재,㎡
부 산 청-20220288,유엔평화로153번길8-17외 2지번 철거공사중 석면공사,(48531)부산광역시 남구 유엔평화로153번길 8-17(용당동) 외 2지번,주택,고은산업,2022-08-02,2022-08-20,,4,지붕재,451.04 ㎡
부 산 청-20220287,남구 수영로219내 석면공사,(48445)부산광역시 남구 수영로 219(대연동) .,신바람여행사,고은산업,2022-08-01,2022-08-20,,5,벽   재,12 ㎡
부 산 청-20220287,남구 수영로219내 석면공사,(48445)부산광역시 남구 수영로 219(대연동) .,신바람여행사,고은산업,2022-08-01,2022-08-20,,3,천장재,221.05 ㎡
부 산 청-20220286,2022년도 부산항 감만부두 운영건물(4B) 유지보수공사 중 석면 해체#8901;제거 공사,"(48481)부산광역시 남구 북항로 59(감만동) 5동 3, 4층",부산항만공사 5동,우성건설,2022-08-01,2022-08-15,,5,벽   재,152.57 ㎡
부 산 청-20220286,2022년도 부산항 감만부두 운영건물(4B) 유지보수공사 중 석면 해체#8901;제거 공사,"(48481)부산광역시 남구 북항로 59(감만동) 5동 3, 4층",부산항만공사 5동,우성건설,2022-08-01,2022-08-15,,3,천장재,㎡
부 산 청-20220283,2022학년도 change-up사업 작업치료학과 실습실 구축 석면천장재해체공사(대학원201호),"(48520)부산광역시 남구 신선로 428 (용당동, 동명대학교)",동명대학교 국제교육관,계동건설주식회사,2022-07-27,2022-08-11,,3,천장재,123.24 ㎡
부 산 청-20220280,"용문초등학교 석면해체,제거공사",(48516)부산광역시 남구 신선로 542(용호동) 용문초등학교,용문초등학교,세운건설,2022-07-22,2022-08-12,,3,천장재,1575 ㎡
부 산 청-20220274,동명대학교건축디자인관 612호 석면철거공사,"(48520)부산광역시 남구 신선로 428 (용당동, 동명대학교)",동명대건축디자인관612호,계동건설주식회사,2022-07-19,2022-08-10,,3,천장재,91.98 ㎡
부 산 청-20220270,"부산광역시 남구 고동골로4번길 17, 1층 리모델링공사",(48419)부산광역시 남구 고동골로4번길 17 (문현동),"부산광역시 남구 고동골로4번길 17, 1층",(주)공간산업개발,2022-07-25,2022-07-29,,3,천장재,69.2 ㎡
부 산 청-20220237,남구 석포로 63 슬레이트 해체공사,"(48491)부산광역시 남구 석포로 63 외 1필지 (감만동, )",대연종합설비 외,성수개발,2022-07-16,2022-07-25,2022-07-13,4,지붕재,163.03 ㎡
부 산 청-20220237,남구 석포로 63 슬레이트 해체공사,"(48491)부산광역시 남구 석포로 63 외 1필지 (감만동, )",대연종합설비 외,성수개발,2022-07-16,2022-07-25,2022-07-13,3,천장재,
부 산 청-20220237,남구 석포로 63 슬레이트 해체공사,"(48491)부산광역시 남구 석포로 63 외 1필지 (감만동, )",대연종합설비 외,성수개발,2022-07-16,2022-07-25,2022-07-13,5,벽   재,1.61 ㎡
